User,DOI,Title,Author,Year Published,Study Design,Research Method,Summary/Notes,Implications,Further Research Opportunities?,Keywords,Outcome Measures,Study Location,Parents Pertain,Students Pertain,Teachers Pertain,Study Focus,User,Task,Chart Type,Interaction,Information Granularity,Sensory Modality,Assistive Technology,Contribution Type,Perception Channel
"Blind, Low vision ",10.1145/3313831.3376367,"Tactile Presentation of Network Data: Text, Matrix or Diagram?",,2020,,,,,,Accessibility; Blindness; Vision Impairment; GraphVisualization; Adjacency Matrix,,,,,,,"Blind, Low vision ",Read,"Node-link diagram, Matrix diagram",None,"Overview, Detail",Tactile graphic,Embosser,Empirical Research,Touch
Blind,10.1111/coin.12227,An automated approach for the recognition of intended messages in grouped bar charts,,2019,,,,,,,,,,,,,Blind,Read,Bar chart,None,Overview,Speech,Screen reader,Artifact,Sound
Visually impaired,10.1007/978-3-030-29381-9_16,"Comparing User Performance on Parallel-Tone, Parallel-Speech, Serial-Tone and Serial-Speech Auditory Graphs",,2019,,,,,,Auditory feedback; Auditory graphs; Human computer interaction; Sonification,,,,,,,Visually impaired,Read,Bar chart,None,"Overview, Detail (comparison to Overview)","Sonification (tone), Speech","Screen reader,  Sound synthesizer",Empirical Research,Sound
"Visually impaired, Blind, Low vision",10.1145/3308561.3353804,RoboGraphics: Dynamic tactile graphics powered by mobile robots,,2019,,,,,,Accessibility; Blindness; Education; Robots; Tactile; Tangible User Interfaces,,,,,,,"Visually impaired, Blind, Low vision",Read,Bar chart,Navigate,"Overview, Detail ","Tactile graphic, Speech","Touch screen tablet, Static tactile objects, Small mobile robots",Artifact,"Sound, Touch"
Blind,10.1109/VISUAL.2019.8933762,Sociotechnical Considerations for Accessible Visualization Design,,2019,,,,,,Accessibility; Accessibility technologies; Human-centered computing; Visualization; Visualization design and evaluation methods,,,,,,,Blind,Read,Line chart,None,"Overview, Detail","Tactile graphic, Braille",3D Printer,Methodological,Touch
Blind,10.1145/3316782.3316793,"SVGPlott: An accessible tool to generate highly adaptable, accessible audio-tactile charts for and from blind and visually impaired people",,2019,,,,,,"Accessible graphics; Audio-tactile charts; Automation tool; Blind and visually impaired people; Data visualization; Effective design; Tactile charts, Data visualization; Graphical user interfaces; Accessible graphics; Audio-tactile charts; Automation tools; Blind and visually impaired; Tactile charts; Graphic methods",,,,,,,Blind,Create,"Bar chart, Line chart, Scatter plot",Visualize,"Existence, Overview, Detail","Tactile graphic, Speech, Braille","Screen reader, Keyboard, Audio-tactile device (TTT, IVEO), Braille display (Pin matrix device), Embosser",Artifact,"Sound, Touch"
Visually impaired,10.1177/0145482X19876463,The Comprehension of STEM Graphics via a Multisensory Tablet Electronic Device by Students with Visual Impairments,,2019,,,,,,accessible graphics; multimodal feedback; STEM education; tactile feedback; touchscreens; vibrations,,,,,,,Visually impaired,Read,"Pie chart, Bar chart, Line chart, Map",None,"Overview, Detail","Haptic Feedback, Speech, Braille , Tactile graphic","Touch screen tablet, Embosser",Empirical Research,"Sound, Touch"
Visually impaired,10.1111/cgf.13686,Visualizing for the Non‐Visual: Enabling the Visually Impaired to Use Visualization,,2019,,,,,,,,,,,,,Visually impaired,Read,"Bar chart, Line chart, Pie chart",None,"Existence, Detail",Speech,Screen reader,Artifact,Sound
"Visually impaired, Blind ",10.1007/978-3-319-94274-2_24,A user study to evaluate tactile charts with blind and visually impaired people,,2018,,,,,,"Accessibility; Blind and visually impaired users; Effective design; Information graphics; Remote user study; Tactile charts; Tactile graphics, Data visualization; Human rehabilitation equipment; Pattern recognition; Surveys; Accessibility; Blind and visually impaired users; Effective designs; Information graphics; Remote users; Tactile charts; Tactile graphics; Graphic methods",,,,,,,"Visually impaired, Blind ",Create,"Bar chart, Line chart, Scatter plot, Pie chart",None,"Overview, Detail",Tactile graphic,Embosser,Empirical Research,Touch
"Blind, Low vision (highlighting, magnification)",10.1007/978-3-319-94277-3_92,An accessible interaction model for data visualisation in statistics,,2018,,,,,,Visualization; Bar chart; Blind people; Blind users; Information age; Interaction model; Interactive exploration; Pre-requisites; Statistical software; Data visualization,,,,,,,"Blind, Low vision (highlighting, magnification)",Create,Statistical chart,"Navigate, Visualize","Detail (single component), Overview (summary and major component)","Speech, Tactile graphic, Braille","Screen reader, Keyboard",Artifact,"Sound, Touch"
Blind,10.1007/978-3-319-94277-3_97,Effectiveness of tactile scatter plots: Comparison of non-visual data representations,,2018,,,,,,"Blind people, Tactile graph, Tactile table, Screen reader, Scatter plot",,,,,,,Blind,Read,Scatter plot,None,"Overview, Detail (vs Detail)","Tactile graphic, Speech, Braille","Embosser, Screen reader",Empirical Research,Touch
Visually impaired,10.1109/CCNC.2018.8319239,EvoGraphs - A jQuery plugin to create web accessible graphs,,2018,,,,,,Application programs; Customizable; Image-based; Plug-ins; Screen readers; Software applications; Visually impaired; Graphic methods,,,,,,,Visually impaired,Read,"Bar chart, Pie chart",None,"Detail, Overview",Speech,Screen reader,Artifact,Sound
"Blind, Visually impaired",10.1145/3234695.3236357,Multi modal deep learning using images and text for information graphic classification,,2018,,,,,,Assistive technology; Classification.; Deep learning; Information graphic; Multimodal machine learning,,,,,,,"Blind, Visually impaired",Read,Line chart,None,Overview,Speech,Screen reader,Artifact,Sound
